Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Post_Semester_GPA,Skill_Retention_Score
100075,Business,Freshman,2.919,2.08,Direct_Answer_Generation,3.389,58.03
100076,Business,Junior,2.023,5.4,Copywriting/Drafting,2.468,72.32
100077,Arts,Freshman,2.494,7.29,Copywriting/Drafting,2.393,78.1
100078,STEM,Freshman,3.631,0.9,Debugging/Troubleshooting,3.969,85.55
100079,Humanities,Graduate,2.659,8.84,Copywriting/Drafting,3.21,77.88
100080,STEM,Graduate,2.862,5.01,Summarizing_Reading,3.293,76.51
100081,Arts,Senior,3.274,2.79,Copywriting/Drafting,3.195,69.29
100082,Business,Junior,3.332,8.53,Direct_Answer_Generation,3.421,64.26
100083,Humanities,Graduate,3.221,13.97,Summarizing_Reading,3.418,75.13
100084,STEM,Freshman,3.414,3.7,Debugging/Troubleshooting,3.691,73.6
100085,Humanities,Graduate,2.132,8.18,Direct_Answer_Generation,2.354,65.13
100086,Humanities,Sophomore,3.106,8.23,Debugging/Troubleshooting,3.334,81.48
100087,Business,Graduate,3.033,9.65,Ideation,3.216,93.82
100088,Business,Senior,2.549,13.19,Ideation,2.855,59.64
100089,Medical,Graduate,3.367,6.51,Summarizing_Reading,3.389,79.27
100090,Humanities,Graduate,3.544,34.0,Debugging/Troubleshooting,3.795,68.8
100091,STEM,Graduate,2.291,7.91,Debugging/Troubleshooting,2.75,55.09
100092,Business,Junior,2.592,5.87,Copywriting/Drafting,3.139,65.99
100093,Arts,Senior,2.561,0.16,Debugging/Troubleshooting,2.887,68.77
100094,Business,Senior,2.778,12.92,Direct_Answer_Generation,3.17,74.32
100095,Arts,Freshman,3.099,21.32,Summarizing_Reading,3.378,76.16
100096,Humanities,Senior,3.773,5.21,Copywriting/Drafting,3.873,59.56
100097,Business,Freshman,2.907,3.32,Direct_Answer_Generation,2.993,71.8
100098,Humanities,Graduate,2.292,3.02,Copywriting/Drafting,2.918,66.73
100099,STEM,Freshman,2.016,28.71,Debugging/Troubleshooting,2.473,55.74
100100,STEM,Graduate,2.661,11.3,Direct_Answer_Generation,2.754,98.76
100101,STEM,Sophomore,3.612,25.83,Debugging/Troubleshooting,3.715,62.3
100102,Business,Freshman,2.038,8.9,Debugging/Troubleshooting,1.942,55.12
100103,Humanities,Graduate,3.786,3.32,Copywriting/Drafting,4.0,56.37
100104,Business,Freshman,3.204,4.77,Debugging/Troubleshooting,3.348,85.52
100105,Medical,Junior,2.076,5.72,Copywriting/Drafting,2.307,63.93
100106,STEM,Senior,2.972,9.6,Debugging/Troubleshooting,3.234,87.33
100107,Humanities,Sophomore,2.728,6.37,Copywriting/Drafting,2.869,84.71
100108,Arts,Junior,2.133,4.33,Direct_Answer_Generation,2.468,72.83
100109,STEM,Senior,2.926,0.43,Copywriting/Drafting,3.321,94.36
100110,STEM,Graduate,2.379,10.28,Ideation,3.09,96.15
100111,STEM,Freshman,3.866,7.54,Debugging/Troubleshooting,4.0,53.65
100112,STEM,Freshman,3.203,12.06,Ideation,3.257,82.36
100113,Medical,Junior,3.501,9.86,Ideation,3.839,85.42
100114,Arts,Sophomore,3.151,2.86,Copywriting/Drafting,3.176,66.09
100115,Business,Sophomore,3.784,2.61,Ideation,4.0,83.06
100116,Medical,Sophomore,3.242,1.25,Ideation,3.705,78.83
100117,Arts,Junior,2.845,5.45,Summarizing_Reading,3.213,61.45
100118,STEM,Graduate,3.915,0.73,Debugging/Troubleshooting,4.0,62.09
100119,Medical,Freshman,2.67,27.9,Summarizing_Reading,2.602,62.97
100120,Business,Freshman,2.074,0.9,Ideation,2.217,69.58
100121,Arts,Senior,1.845,3.58,Ideation,2.293,63.51
100122,Medical,Freshman,3.667,0.51,Direct_Answer_Generation,3.99,69.49
100123,Humanities,Senior,3.684,18.48,Copywriting/Drafting,4.0,88.85
100124,STEM,Sophomore,3.856,3.16,Ideation,4.0,93.35
100125,STEM,Sophomore,3.446,40.0,Summarizing_Reading,3.441,76.67
100126,Humanities,Sophomore,3.086,18.06,Debugging/Troubleshooting,3.137,86.56
100127,Arts,Sophomore,2.461,5.4,Direct_Answer_Generation,2.574,96.82
100128,Arts,Senior,3.887,23.63,Ideation,4.0,76.58
100129,STEM,Graduate,3.092,3.94,Debugging/Troubleshooting,3.456,63.1
100130,Business,Junior,3.537,8.18,Ideation,3.576,96.33
100131,Humanities,Junior,3.138,1.62,Copywriting/Drafting,3.146,48.73
100132,STEM,Freshman,3.505,20.76,Ideation,4.0,84.53
100133,STEM,Senior,3.724,9.69,Debugging/Troubleshooting,3.897,73.28
100134,Humanities,Junior,3.416,16.77,Direct_Answer_Generation,3.717,67.16
100135,Medical,Freshman,2.398,6.97,Summarizing_Reading,2.57,67.06
100136,Humanities,Freshman,2.686,6.39,Debugging/Troubleshooting,2.785,56.59
100137,Business,Freshman,3.164,11.13,Debugging/Troubleshooting,3.49,77.45
100138,Business,Freshman,2.767,0.44,Ideation,3.137,82.77
100139,Humanities,Senior,3.706,4.18,Direct_Answer_Generation,3.881,59.74
100140,Medical,Graduate,3.393,1.9,Ideation,3.384,64.37
100141,Medical,Senior,2.443,20.69,Ideation,2.674,79.7
100142,STEM,Junior,2.407,25.2,Debugging/Troubleshooting,2.794,69.1
100143,Humanities,Sophomore,3.43,10.37,Copywriting/Drafting,3.641,78.81
100144,Humanities,Sophomore,3.668,16.61,Summarizing_Reading,3.645,76.77
100145,STEM,Junior,3.691,22.04,Summarizing_Reading,3.877,72.99
100146,STEM,Sophomore,2.425,9.16,Ideation,2.992,90.32
100147,Business,Sophomore,3.087,25.66,Ideation,3.103,79.98
100148,Business,Junior,2.107,6.05,Ideation,2.313,76.11
100149,STEM,Sophomore,3.221,40.0,Debugging/Troubleshooting,3.347,57.02
100150,STEM,Freshman,3.641,35.18,Debugging/Troubleshooting,3.84,51.53
100151,Medical,Freshman,3.85,20.4,Copywriting/Drafting,4.0,100.0
100152,STEM,Sophomore,2.784,4.43,Copywriting/Drafting,3.092,82.92
100153,STEM,Junior,2.871,4.13,Summarizing_Reading,2.848,85.82
100154,Humanities,Sophomore,3.518,4.01,Ideation,3.728,88.31
100155,Medical,Freshman,3.661,1.52,Summarizing_Reading,3.851,48.59
100156,STEM,Sophomore,3.441,1.35,Copywriting/Drafting,3.745,72.69
100157,Business,Freshman,2.323,9.72,Summarizing_Reading,2.537,73.34
100158,Arts,Graduate,3.033,3.86,Copywriting/Drafting,3.487,71.38
100159,STEM,Sophomore,2.148,10.2,Direct_Answer_Generation,2.536,81.38
100160,Business,Freshman,3.491,2.92,Ideation,3.739,77.34
100161,Humanities,Senior,3.564,2.76,Copywriting/Drafting,4.0,66.33
100162,Business,Sophomore,3.518,9.49,Summarizing_Reading,3.553,76.08
100163,Business,Junior,3.34,2.62,Debugging/Troubleshooting,3.728,81.7
100164,Business,Freshman,3.565,1.41,Ideation,3.905,80.89
100165,STEM,Graduate,2.309,27.25,Debugging/Troubleshooting,2.606,70.82
100166,Arts,Graduate,3.365,9.67,Ideation,3.286,66.16
100167,Humanities,Senior,3.257,1.18,Summarizing_Reading,3.809,81.93
100168,STEM,Senior,2.258,2.67,Debugging/Troubleshooting,2.326,82.16
100169,STEM,Junior,2.086,4.31,Debugging/Troubleshooting,2.38,51.4
100170,Business,Graduate,2.331,5.54,Summarizing_Reading,2.493,83.54
100171,Business,Junior,1.737,0.78,Ideation,2.001,82.74
100172,STEM,Sophomore,3.3,2.54,Ideation,3.386,80.69
100173,Business,Freshman,2.624,0.11,Summarizing_Reading,2.737,71.53
100174,STEM,Freshman,3.478,9.82,Copywriting/Drafting,3.476,41.99
100175,Business,Junior,2.121,14.99,Direct_Answer_Generation,2.264,65.19
100176,STEM,Sophomore,3.174,2.13,Debugging/Troubleshooting,3.084,69.25
100177,Business,Senior,3.349,18.12,Ideation,3.457,87.34
100178,Humanities,Sophomore,2.576,3.46,Summarizing_Reading,2.835,73.45
100179,Medical,Graduate,3.66,2.94,Copywriting/Drafting,3.961,59.54
100180,STEM,Junior,2.866,2.7,Debugging/Troubleshooting,3.515,66.28
100181,Humanities,Junior,2.129,26.24,Copywriting/Drafting,2.284,82.23
100182,STEM,Junior,3.676,3.1,Debugging/Troubleshooting,3.814,57.65
100183,Medical,Graduate,3.443,3.49,Ideation,3.805,90.63
100184,Medical,Freshman,3.295,0.75,Summarizing_Reading,3.413,64.58
100185,STEM,Freshman,3.022,37.66,Copywriting/Drafting,3.26,55.99
100186,Business,Senior,3.43,0.36,Debugging/Troubleshooting,3.995,90.27
100187,Arts,Senior,2.82,3.33,Copywriting/Drafting,3.102,61.83
100188,Business,Junior,3.396,1.87,Copywriting/Drafting,3.49,55.3
100189,Business,Sophomore,3.326,3.23,Ideation,3.592,62.61
100190,STEM,Sophomore,3.414,1.7,Copywriting/Drafting,3.882,89.38
100191,STEM,Sophomore,3.05,3.49,Summarizing_Reading,2.981,92.74
100192,Medical,Graduate,3.668,3.05,Summarizing_Reading,4.0,96.43
100193,Medical,Sophomore,3.282,2.41,Direct_Answer_Generation,3.661,100.0
100194,Business,Senior,3.295,7.69,Copywriting/Drafting,3.857,95.01
100195,Humanities,Senior,2.228,3.64,Ideation,2.429,72.68
100196,Humanities,Freshman,3.781,2.11,Copywriting/Drafting,3.95,87.3
100197,Business,Freshman,3.861,6.34,Direct_Answer_Generation,3.797,55.28
100198,Medical,Sophomore,2.816,2.64,Direct_Answer_Generation,2.921,76.6
100199,Medical,Senior,1.691,8.1,Summarizing_Reading,1.86,58.58
100200,Arts,Sophomore,2.874,14.28,Direct_Answer_Generation,3.035,87.08
100201,Business,Freshman,3.337,17.53,Copywriting/Drafting,3.714,53.77
100202,STEM,Sophomore,2.773,1.76,Summarizing_Reading,3.061,68.03
100203,STEM,Freshman,3.548,0.87,Debugging/Troubleshooting,3.673,72.33
100204,Medical,Freshman,2.053,10.51,Direct_Answer_Generation,2.172,73.12
100205,Business,Sophomore,3.357,21.32,Debugging/Troubleshooting,3.824,64.84
100206,STEM,Freshman,3.219,8.15,Debugging/Troubleshooting,3.384,62.0
100207,STEM,Senior,3.819,0.81,Debugging/Troubleshooting,4.0,88.92
100208,Business,Sophomore,3.166,9.73,Ideation,3.424,88.19
100209,STEM,Senior,3.742,1.59,Direct_Answer_Generation,4.0,57.99
100210,STEM,Junior,2.358,6.03,Summarizing_Reading,2.525,73.66
100211,Business,Graduate,3.179,9.61,Debugging/Troubleshooting,3.448,85.19
100212,Business,Freshman,3.37,16.68,Summarizing_Reading,3.544,60.04
100213,Business,Freshman,2.363,6.12,Ideation,2.653,92.54
100214,STEM,Graduate,3.741,4.25,Direct_Answer_Generation,3.903,89.03
100215,Business,Senior,3.815,5.75,Summarizing_Reading,4.0,77.85
100216,STEM,Freshman,3.098,1.91,Debugging/Troubleshooting,2.936,62.17
100217,Humanities,Freshman,2.833,4.27,Copywriting/Drafting,2.957,77.19
100218,Business,Graduate,3.528,7.89,Ideation,4.0,98.6
100219,Business,Freshman,2.684,2.69,Ideation,2.888,86.1
100220,Arts,Graduate,3.212,3.85,Copywriting/Drafting,3.444,67.65
100221,Business,Graduate,3.338,23.56,Ideation,3.623,79.2
100222,Business,Sophomore,3.392,0.18,Debugging/Troubleshooting,3.568,75.24
100223,STEM,Senior,3.062,21.42,Summarizing_Reading,3.035,63.98
100224,Humanities,Junior,3.041,11.81,Summarizing_Reading,3.149,70.08
100225,STEM,Senior,3.565,4.6,Ideation,3.834,76.92
100226,STEM,Sophomore,3.337,3.82,Copywriting/Drafting,3.378,90.81
100227,Medical,Freshman,1.928,9.33,Summarizing_Reading,1.866,49.12
100228,Humanities,Senior,3.225,15.05,Summarizing_Reading,3.354,59.27
100229,Medical,Freshman,3.167,0.39,Summarizing_Reading,3.643,80.69
100230,Business,Graduate,2.767,6.3,Ideation,3.032,65.87
100231,Arts,Sophomore,3.29,2.28,Ideation,3.646,81.36
100232,Business,Freshman,3.653,1.27,Ideation,3.572,72.15
100233,Business,Sophomore,3.767,5.41,Ideation,3.61,61.21
100234,Humanities,Graduate,3.609,0.76,Debugging/Troubleshooting,4.0,89.33
100235,STEM,Sophomore,3.319,8.17,Direct_Answer_Generation,3.641,88.9
100236,Business,Graduate,3.133,0.26,Ideation,3.209,81.38
100237,STEM,Freshman,3.291,8.76,Copywriting/Drafting,3.644,100.0
100238,STEM,Junior,3.857,3.97,Direct_Answer_Generation,4.0,100.0
100239,Business,Graduate,3.351,15.28,Ideation,3.623,78.96
100240,STEM,Freshman,3.381,7.75,Debugging/Troubleshooting,3.474,74.92
100241,Medical,Sophomore,3.555,5.97,Summarizing_Reading,3.516,82.38
100242,Medical,Graduate,3.511,9.68,Summarizing_Reading,3.704,86.02
100243,Medical,Junior,3.267,1.62,Summarizing_Reading,3.52,73.95
100244,Humanities,Senior,2.689,0.67,Copywriting/Drafting,2.993,87.34
100245,STEM,Senior,3.589,22.12,Ideation,3.635,97.9
100246,Medical,Junior,2.81,19.75,Direct_Answer_Generation,2.358,64.94
100247,Humanities,Senior,3.495,9.09,Copywriting/Drafting,3.745,72.68
100248,Medical,Junior,2.312,14.79,Debugging/Troubleshooting,2.989,100.0
100249,Medical,Senior,3.915,7.89,Summarizing_Reading,4.0,78.11
100250,Arts,Freshman,3.803,5.74,Copywriting/Drafting,3.803,67.41
100251,STEM,Graduate,3.016,12.75,Ideation,3.507,82.28
100252,Humanities,Senior,3.332,9.12,Direct_Answer_Generation,3.72,83.47
100253,Arts,Sophomore,2.648,1.43,Copywriting/Drafting,2.517,71.83
100254,Humanities,Junior,3.878,11.89,Debugging/Troubleshooting,4.0,64.07
100255,STEM,Sophomore,2.069,25.73,Copywriting/Drafting,2.314,59.48
100256,Business,Senior,2.738,7.93,Ideation,3.103,63.11
100257,Medical,Graduate,3.164,3.38,Direct_Answer_Generation,3.636,81.63
100258,Business,Freshman,3.416,2.17,Summarizing_Reading,3.669,89.41
100259,Business,Graduate,2.41,7.72,Copywriting/Drafting,2.556,76.43
100260,STEM,Freshman,2.637,0.74,Debugging/Troubleshooting,3.132,84.55
100261,Business,Junior,3.244,20.81,Ideation,3.651,87.79
100262,Medical,Junior,3.506,5.02,Summarizing_Reading,3.88,71.93
100263,STEM,Sophomore,3.825,18.43,Debugging/Troubleshooting,4.0,87.29
100264,Business,Junior,3.05,22.73,Summarizing_Reading,3.284,68.48
100265,Medical,Senior,2.94,1.62,Summarizing_Reading,3.211,82.2
100266,Business,Sophomore,3.293,10.66,Debugging/Troubleshooting,3.37,89.83
100267,Business,Freshman,2.912,12.22,Ideation,2.95,65.63
100268,Business,Junior,3.302,23.57,Copywriting/Drafting,3.567,89.24
100269,Humanities,Senior,3.472,3.46,Copywriting/Drafting,3.848,69.07
100270,STEM,Graduate,2.579,0.86,Ideation,2.888,80.34
100271,Arts,Freshman,2.991,9.42,Copywriting/Drafting,3.261,79.72
100272,Arts,Graduate,2.736,1.3,Debugging/Troubleshooting,2.995,73.16
100273,Arts,Junior,3.616,3.95,Copywriting/Drafting,3.863,62.9
100274,Medical,Sophomore,2.807,21.31,Summarizing_Reading,2.855,53.56
100275,Business,Graduate,3.706,0.8,Copywriting/Drafting,3.948,100.0
100276,Business,Sophomore,3.517,6.5,Summarizing_Reading,3.78,72.34
100277,Arts,Senior,3.444,0.39,Copywriting/Drafting,3.618,68.24
100278,Business,Senior,3.586,14.54,Ideation,3.908,62.69
100279,Business,Junior,3.117,1.65,Copywriting/Drafting,3.292,66.31
100280,Arts,Senior,3.302,0.33,Summarizing_Reading,3.335,93.98
100281,Medical,Junior,3.765,5.79,Debugging/Troubleshooting,4.0,96.43
100282,Humanities,Freshman,3.84,5.69,Copywriting/Drafting,4.0,72.7
100283,Humanities,Senior,2.864,7.31,Copywriting/Drafting,3.235,92.27
100284,STEM,Graduate,2.235,21.44,Debugging/Troubleshooting,2.594,80.69
100285,Business,Junior,3.039,0.49,Ideation,3.067,80.71
100286,STEM,Graduate,3.112,11.33,Direct_Answer_Generation,3.159,71.73
100287,Humanities,Junior,3.156,0.61,Ideation,3.562,77.08
100288,Business,Junior,2.672,13.55,Ideation,2.911,86.59
100289,STEM,Senior,3.497,4.77,Direct_Answer_Generation,3.63,97.52
100290,Business,Freshman,2.628,4.78,Debugging/Troubleshooting,2.598,76.75
100291,STEM,Graduate,3.389,8.49,Debugging/Troubleshooting,3.48,89.74
100292,STEM,Senior,2.857,29.02,Summarizing_Reading,3.225,52.64
100293,Arts,Graduate,2.566,16.4,Copywriting/Drafting,2.606,52.09
100294,Humanities,Junior,3.531,6.12,Copywriting/Drafting,4.0,69.49
100295,STEM,Graduate,2.784,4.2,Debugging/Troubleshooting,3.066,66.18
100296,Business,Senior,3.325,24.66,Copywriting/Drafting,3.598,100.0
100297,Arts,Junior,3.393,10.72,Summarizing_Reading,3.695,71.89
100298,STEM,Graduate,2.788,18.58,Direct_Answer_Generation,3.016,77.43
100299,Business,Junior,3.008,3.03,Ideation,3.5,100.0
100300,STEM,Junior,2.37,0.12,Debugging/Troubleshooting,2.714,84.97
100301,STEM,Freshman,3.399,13.25,Copywriting/Drafting,3.501,67.93
100302,Business,Graduate,2.869,3.16,Ideation,2.939,73.9
100303,Business,Sophomore,3.182,27.29,Ideation,3.263,40.0
100304,Business,Freshman,3.062,6.81,Ideation,2.96,55.25
100305,Business,Freshman,2.666,40.0,Ideation,2.724,85.51
100306,Medical,Junior,2.437,0.41,Summarizing_Reading,2.435,79.28
100307,Business,Sophomore,3.352,4.54,Summarizing_Reading,3.566,68.95
100308,Humanities,Senior,2.707,7.94,Ideation,2.981,74.44
100309,Arts,Sophomore,3.006,1.79,Copywriting/Drafting,3.104,64.43
100310,STEM,Senior,2.75,3.31,Debugging/Troubleshooting,2.685,91.55
100311,Humanities,Freshman,2.806,8.83,Debugging/Troubleshooting,3.292,97.27
100312,STEM,Sophomore,3.695,11.05,Debugging/Troubleshooting,4.0,84.26
100313,STEM,Senior,2.391,0.28,Debugging/Troubleshooting,2.564,86.21
100314,Medical,Sophomore,3.795,2.26,Summarizing_Reading,4.0,68.26
100315,Arts,Freshman,3.067,8.17,Debugging/Troubleshooting,3.666,100.0
100316,Business,Graduate,3.91,1.92,Ideation,4.0,88.9
100317,Humanities,Freshman,3.162,15.07,Copywriting/Drafting,3.432,95.56
100318,STEM,Freshman,2.808,4.48,Debugging/Troubleshooting,3.352,83.04
100319,STEM,Sophomore,2.338,4.23,Direct_Answer_Generation,2.779,60.3
100320,STEM,Freshman,2.831,40.0,Debugging/Troubleshooting,3.204,86.64
100321,Business,Freshman,2.714,1.01,Ideation,2.827,76.14
100322,Business,Senior,3.244,5.8,Debugging/Troubleshooting,3.933,85.46
100323,Business,Freshman,3.275,1.01,Ideation,3.302,51.93
100324,STEM,Freshman,2.048,7.49,Debugging/Troubleshooting,1.816,90.08
100325,Medical,Graduate,3.414,2.16,Summarizing_Reading,3.873,83.84
100326,Business,Junior,2.868,4.37,Ideation,3.303,82.62
100327,Business,Freshman,3.401,19.48,Copywriting/Drafting,3.42,69.04
100328,Business,Junior,2.782,1.24,Copywriting/Drafting,2.991,60.24
100329,Humanities,Freshman,3.318,5.16,Debugging/Troubleshooting,3.178,73.04
100330,STEM,Junior,3.468,8.89,Direct_Answer_Generation,3.729,63.13
100331,Humanities,Junior,3.767,1.27,Summarizing_Reading,4.0,71.23
100332,Arts,Graduate,2.366,29.13,Debugging/Troubleshooting,2.71,69.16
100333,STEM,Sophomore,2.572,0.65,Debugging/Troubleshooting,2.633,94.02
100334,STEM,Senior,3.8,40.0,Debugging/Troubleshooting,4.0,70.75
100335,STEM,Freshman,3.308,1.88,Summarizing_Reading,3.28,64.13
100336,STEM,Junior,3.004,13.65,Debugging/Troubleshooting,3.601,80.65
100337,Arts,Sophomore,3.146,2.92,Copywriting/Drafting,3.11,73.74
100338,Business,Junior,3.238,9.42,Ideation,3.474,65.5
100339,Humanities,Sophomore,2.797,0.34,Debugging/Troubleshooting,3.209,98.6
100340,STEM,Graduate,2.315,15.4,Copywriting/Drafting,2.428,55.3
100341,Humanities,Graduate,3.725,2.4,Direct_Answer_Generation,3.904,71.19
100342,Humanities,Junior,2.689,3.66,Direct_Answer_Generation,3.054,76.66
100343,STEM,Freshman,2.733,23.54,Copywriting/Drafting,3.019,62.68
100344,Humanities,Junior,3.853,6.82,Debugging/Troubleshooting,4.0,84.84
100345,Humanities,Senior,3.448,17.5,Copywriting/Drafting,3.558,82.42
100346,Business,Freshman,3.208,32.77,Ideation,3.228,73.52
100347,Business,Junior,2.829,4.77,Ideation,2.898,67.17
100348,STEM,Freshman,3.52,1.13,Copywriting/Drafting,3.621,86.97
100349,Humanities,Sophomore,3.23,4.99,Summarizing_Reading,3.334,45.42
100350,Business,Freshman,3.811,7.2,Debugging/Troubleshooting,3.991,73.79
100351,Business,Graduate,3.402,1.94,Direct_Answer_Generation,3.613,87.1
100352,Arts,Freshman,3.542,4.93,Copywriting/Drafting,3.616,66.01
100353,Business,Freshman,3.03,8.26,Summarizing_Reading,3.078,82.29
100354,STEM,Graduate,2.915,9.77,Debugging/Troubleshooting,3.175,97.22
100355,STEM,Junior,2.456,3.84,Copywriting/Drafting,2.594,58.42
100356,Business,Senior,2.83,9.04,Direct_Answer_Generation,2.936,100.0
100357,STEM,Sophomore,2.879,32.69,Debugging/Troubleshooting,2.836,67.28
100358,Business,Junior,3.416,2.75,Ideation,3.731,79.42
100359,Medical,Freshman,3.006,13.87,Summarizing_Reading,3.197,66.26
100360,Business,Sophomore,3.089,27.87,Ideation,3.182,80.8
100361,Humanities,Junior,3.046,21.76,Copywriting/Drafting,3.229,76.52
100362,Business,Junior,3.392,2.73,Ideation,3.667,100.0
100363,Humanities,Sophomore,2.589,8.71,Debugging/Troubleshooting,2.906,54.32
100364,Business,Senior,2.868,35.34,Ideation,3.055,71.27
100365,Medical,Junior,3.388,7.96,Summarizing_Reading,3.608,75.27
100366,Humanities,Junior,3.711,2.81,Copywriting/Drafting,3.903,79.8
